No.,Vegetable,Price,raw_ocr_price,Row_Index,Y_Coord
1,ನಎೆ,0,[Empty OCR],Left-Grid-Row-1,285.0
2,..Ma?,0,[Empty OCR],Right-Grid-Row-1,285.0
3,ಕಳ್ಕ,3,3,Left-Grid-Row-2,385.0
4,ಕಫಮಣಸುಾ,0,A,Right-Grid-Row-2,385.0
5,ಸೌತೆಕಾಯಿ,8,8,Left-Grid-Row-3,485.0
6,ುದನ್ವೈಲ್,0,[Empty OCR],Right-Grid-Row-3,485.0
7,ಸುನಗ,0,[Empty OCR],Left-Grid-Row-4,585.0
8,ೋಸು-ಚಾಗಾತಿಸಿ,0,[Empty OCR],Right-Grid-Row-4,585.0
9,ಯಳವನ,3,3,Left-Grid-Row-5,685.0
10,ಬದನೆಕಾಯಿ,0,[Empty OCR],Right-Grid-Row-5,685.0
11,ಬದನೆಕಾಯಿ,0,[Empty OCR],Left-Grid-Row-6,785.0
12,ಭಿನಾಟು--ನ,5,5,Right-Grid-Row-6,785.0
13,ಹೀರೆಕಾಯಿ,18,18,Left-Grid-Row-7,885.0
14,ಂಡಿಕoತ,3,3,Right-Grid-Row-7,885.0
15,ಪಡುವಲಕಾಯಿ,15,15,Left-Grid-Row-8,985.0
16,ವೋಗ--ಹುಳ,0,B,Right-Grid-Row-8,985.0
17,ಪಾಲಕ್,0,d0,Left-Grid-Row-9,1085.0
18,ುಲೆಲ್ಮಣಸುೆ,0,[Empty OCR],Right-Grid-Row-9,1085.0
19,-ಹಾಗಲ--ೀನ್,30,30,Left-Grid-Row-10,1185.0
20,ನt.ಆ.,0,[Empty OCR],Right-Grid-Row-10,1185.0
